device_id,timestamp,zone_name,co2_ppm,co_ppb,pm2_5_ugm3,humidity_rh,temperature_c,tvoc_ppb,o3_ppb,no_ppb,no2_ppb,voc_ppb,pressure_hpa,noise_dba,pm10_ugm3,aqi_index
UHOO-CAG-001,2026-04-01 06:00:00+00:00,Terminal 2 - Check-in Hall,420,100,6.5,55,22.0,95,10,3,8,85,1013.5,45,10,18
UHOO-CAG-001,2026-04-01 07:00:00+00:00,Terminal 2 - Check-in Hall,460,115,8.0,54,22.3,110,14,5,10,100,1013.3,52,13,22
UHOO-CAG-001,2026-04-01 08:00:00+00:00,Terminal 2 - Check-in Hall,580,155,12.5,52,22.8,180,22,8,18,165,1013.0,62,20,38
UHOO-CAG-001,2026-04-01 09:00:00+00:00,Terminal 2 - Check-in Hall,720,195,18.0,50,23.1,250,30,12,25,230,1012.7,70,28,50
UHOO-CAG-001,2026-04-01 10:00:00+00:00,Terminal 2 - Check-in Hall,850,230,22.5,48,23.5,310,38,16,32,285,1012.4,78,35,62
UHOO-CAG-001,2026-04-01 11:00:00+00:00,Terminal 2 - Check-in Hall,920,260,25.8,47,23.8,350,42,18,36,325,1012.2,85,40,68
UHOO-CAG-001,2026-04-01 12:00:00+00:00,Terminal 2 - Check-in Hall,880,245,23.1,48,23.6,330,39,17,33,305,1012.3,80,37,65
UHOO-CAG-001,2026-04-01 13:00:00+00:00,Terminal 2 - Check-in Hall,,185,15.5,49,23.3,,26,10,22,,1012.5,55,22,
UHOO-CAG-001,2026-04-01 14:00:00+00:00,Terminal 2 - Check-in Hall,750,200,19.5,51,23.0,265,32,13,26,245,1012.8,68,30,52
UHOO-CAG-001,2026-04-01 15:00:00+00:00,Terminal 2 - Check-in Hall,620,160,13.0,53,22.5,195,24,9,20,180,1013.1,58,20,40
UHOO-CAG-002,2026-04-01 06:00:00+00:00,Terminal 2 - Gate Lounge,390,85,5.2,58,21.5,80,8,2,6,70,1013.5,38,8,15
UHOO-CAG-002,2026-04-01 07:00:00+00:00,Terminal 2 - Gate Lounge,410,95,6.0,57,21.8,90,11,3,8,80,1013.3,42,10,18
UHOO-CAG-002,2026-04-01 08:00:00+00:00,Terminal 2 - Gate Lounge,520,140,10.2,55,22.2,150,18,7,15,138,1013.0,55,17,34
UHOO-CAG-002,2026-04-01 09:00:00+00:00,Terminal 2 - Gate Lounge,680,185,15.8,53,22.5,220,26,11,22,200,1012.7,65,25,48
UHOO-CAG-002,2026-04-01 10:00:00+00:00,Terminal 2 - Gate Lounge,780,215,19.5,51,22.8,280,34,15,28,260,1012.4,72,32,60
UHOO-CAG-002,2026-04-01 11:00:00+00:00,Terminal 2 - Gate Lounge,830,240,21.0,50,23.0,310,38,17,32,290,1012.2,78,35,65
UHOO-CAG-002,2026-04-01 12:00:00+00:00,Terminal 2 - Gate Lounge,800,225,20.0,50,22.9,295,36,16,30,275,1012.3,75,33,62
UHOO-CAG-002,2026-04-01 13:00:00+00:00,Terminal 2 - Gate Lounge,750,205,18.2,52,22.7,260,31,14,26,240,1012.6,68,28,52
UHOO-CAG-002,2026-04-01 14:00:00+00:00,Terminal 2 - Gate Lounge,650,170,14.0,54,22.3,210,25,10,20,192,1012.9,60,22,44
UHOO-CAG-002,2026-04-01 15:00:00+00:00,Terminal 2 - Gate Lounge,550,145,11.0,56,22.0,165,20,8,16,150,1013.2,52,18,36
UHOO-CAG-003,2026-04-01 06:00:00+00:00,Staff Break Room,1200,320,35.0,60,24.0,450,15,25,40,420,1013.5,65,48,85
UHOO-CAG-003,2026-04-01 07:00:00+00:00,Staff Break Room,1350,380,42.5,58,24.3,520,18,30,48,485,1013.3,72,55,95
UHOO-CAG-003,2026-04-01 08:00:00+00:00,Staff Break Room,1500,420,48.0,56,24.8,600,22,35,55,550,1013.0,80,62,105
UHOO-CAG-003,2026-04-01 09:00:00+00:00,Staff Break Room,1100,290,30.5,59,24.5,400,13,22,35,375,1013.2,60,42,78
UHOO-CAG-003,2026-04-01 10:00:00+00:00,Staff Break Room,950,250,25.0,60,24.0,350,10,18,28,325,1013.5,55,35,68
UHOO-CAG-003,2026-04-01 11:00:00+00:00,Staff Break Room,,,,,
UHOO-CAG-003,2026-04-01 12:00:00+00:00,Staff Break Room,,,,,
UHOO-CAG-003,2026-04-01 13:00:00+00:00,Staff Break Room,1050,270,28.0,59,24.2,380,12,20,32,350,1013.3,58,38,72
UHOO-CAG-003,2026-04-01 14:00:00+00:00,Staff Break Room,900,235,23.5,61,23.8,320,9,16,26,295,1013.6,52,32,62
UHOO-CAG-003,2026-04-01 15:00:00+00:00,Staff Break Room,800,210,20.0,62,23.5,280,7,14,22,260,1013.8,48,28,55
