Site,Date and Time,Temperature,Relative Humidity,PM2.5,TVOC,CO2,CO,Air Pressure,Ozone,PM1,PM4,PM10,Formaldehyde,Light,Sound,Virus Index,Mold Index
Main Lobby,13/01/26 08:00,23.6,48.6,6,92,434,91.8,1013.7,8,5,6,7,0,280,29,1,2
Main Lobby,13/01/26 08:01,23.5,49.2,6,110,396,93.1,1013.6,9,4,8,8,0,268,30,1,2
Main Lobby,13/01/26 08:02,23.7,50.7,6,116,424,90.5,1013.7,11,6,7,8,0,270,30,1,2
Main Lobby,13/01/26 08:03,23.4,48.8,6,108,430,88.7,1013.3,9,6,7,8,0,279,34,1,2
Main Lobby,13/01/26 08:04,23.9,50.4,6,111,465,92.8,1013.3,7,5,7,7,0,314,35,1,2
Main Lobby,13/01/26 08:05,23.5,51.2,6,100,435,90.6,1013.4,11,6,7,7,0,320,34,1,2
Main Lobby,13/01/26 08:06,23.4,50.4,7,106,429,88.8,1013.8,10,6,8,7,0,313,35,1,2
Main Lobby,13/01/26 08:07,23.8,48.8,6,109,489,93.8,1013.4,10,4,8,9,0,300,36,1,2
Main Lobby,13/01/26 08:08,23.9,50.1,7,112,438,88.2,1013.2,13,6,8,8,0,294,37,1,2
Main Lobby,13/01/26 08:09,23.7,48.7,7,120,452,89.8,1013.5,9,6,7,8,0,318,37,1,2
Main Lobby,13/01/26 08:10,24.0,50.4,6,115,457,87.2,1013.4,11,4,7,8,0,325,34,1,2
Main Lobby,13/01/26 08:11,23.5,49.2,6,106,463,94.4,1013.5,10,6,9,8,0,307,37,1,2
Main Lobby,13/01/26 08:12,23.9,50.5,8,105,486,88.4,1013.7,8,4,8,9,0,319,35,1,2
Main Lobby,13/01/26 08:13,24.0,50.2,6,133,518,94.7,1013.8,12,4,8,8,0,328,34,1,2
Main Lobby,13/01/26 08:14,23.7,50.9,7,118,531,95.0,1013.5,11,5,8,10,0,339,38,1,2
Main Lobby,13/01/26 08:15,24.0,50.0,8,111,537,85.8,1013.3,11,6,7,8,0,356,36,1,2
Main Lobby,13/01/26 08:16,23.9,50.3,7,135,498,92.2,1013.3,9,6,8,9,0,354,36,1,2
Main Lobby,13/01/26 08:17,24.2,48.7,6,117,548,93.8,1013.7,9,5,9,9,0,352,42,1,2
Main Lobby,13/01/26 08:18,24.1,49.4,7,138,506,86.2,1013.3,10,6,8,10,0,340,41,1,2
Main Lobby,13/01/26 08:19,24.2,51.0,6,125,521,85.0,1013.7,11,6,8,10,0,353,37,1,2
Main Lobby,13/01/26 08:20,24.2,50.1,8,130,519,86.3,1013.4,12,7,10,11,0,347,39,1,2
Main Lobby,13/01/26 08:21,24.2,49.7,7,120,572,93.6,1013.8,12,7,8,10,0,357,44,1,2
Main Lobby,13/01/26 08:22,24.2,49.3,8,116,562,93.6,1013.3,12,6,9,11,0,348,38,1,2
Main Lobby,13/01/26 08:23,24.2,51.4,7,131,528,94.8,1013.5,13,5,9,9,0,375,39,1,2
Main Lobby,13/01/26 08:24,24.0,49.4,7,125,521,90.8,1013.4,11,5,9,10,0,361,41,1,2
Main Lobby,13/01/26 08:25,23.6,50.5,7,118,543,92.2,1013.4,9,6,8,9,0,333,39,1,2
Main Lobby,13/01/26 08:26,24.1,50.3,7,123,486,87.9,1013.5,10,6,8,9,0,333,39,1,2
Main Lobby,13/01/26 08:27,23.7,48.8,7,125,499,93.2,1013.7,11,5,7,8,0,330,38,1,2
