Site,Date and Time,Temperature,Relative Humidity,PM2.5,TVOC,CO2,CO,Air Pressure,Ozone,PM1,PM4,PM10,Formaldehyde,Light,Sound,Virus Index,Mold Index
Reception Area,13/01/26 08:00,23.8,49.0,14,243,695,190.5,1013.0,25,12,16,21,0,310,48,2,2
Reception Area,13/01/26 08:01,24.1,48.7,14,230,713,190.1,1013.0,23,12,17,21,0,292,46,2,2
Reception Area,13/01/26 08:02,24.2,49.9,14,245,692,189.6,1013.2,26,12,18,22,0,311,44,2,2
Reception Area,13/01/26 08:03,24.4,51.3,13,263,702,189.1,1013.2,27,13,17,22,0,332,46,2,2
Reception Area,13/01/26 08:04,24.0,50.5,14,254,749,188.5,1012.8,25,12,17,22,0,297,45,2,2
Reception Area,13/01/26 08:05,24.1,50.1,16,249,741,187.8,1013.3,26,11,19,23,0,332,51,2,2
Reception Area,13/01/26 08:06,23.9,48.6,15,266,732,192.4,1012.9,23,12,19,22,0,325,48,2,2
Reception Area,13/01/26 08:07,24.1,50.3,15,259,758,186.4,1013.1,23,13,17,25,0,345,52,2,2
Reception Area,13/01/26 08:08,24.2,51.4,16,272,797,188.2,1012.9,23,13,19,24,0,348,50,2,2
Reception Area,13/01/26 08:09,24.4,50.2,16,272,768,187.4,1012.8,26,14,20,23,0,347,49,2,2
Reception Area,13/01/26 08:10,24.3,51.1,15,282,813,190.6,1013.0,27,13,20,24,0,359,55,2,2
Reception Area,13/01/26 08:11,24.3,49.2,16,268,834,190.5,1013.2,24,13,19,25,0,348,53,2,2
Reception Area,13/01/26 08:12,24.3,51.0,17,277,815,190.6,1012.8,23,14,20,25,0,348,51,2,2
Reception Area,13/01/26 08:13,24.5,50.0,16,290,815,193.2,1013.3,26,14,19,27,0,342,55,2,2
Reception Area,13/01/26 08:14,24.3,50.4,15,274,861,194.5,1013.1,27,14,21,25,0,368,52,2,2
Reception Area,13/01/26 08:15,24.5,50.5,17,290,848,185.1,1013.0,22,14,20,27,0,345,57,2,2
Reception Area,13/01/26 08:16,24.6,48.8,16,283,842,190.3,1013.2,24,14,20,27,0,371,59,2,2
Reception Area,13/01/26 08:17,24.6,50.5,18,306,846,188.8,1013.0,22,13,20,27,0,369,59,2,2
Reception Area,13/01/26 08:18,24.2,50.1,16,292,902,193.9,1013.0,22,14,22,28,0,380,54,2,2
Reception Area,13/01/26 08:19,24.8,50.3,18,311,884,185.8,1012.8,23,16,21,28,0,374,60,2,2
Reception Area,13/01/26 08:20,24.6,50.0,19,295,895,193.4,1012.9,27,16,21,29,0,366,58,2,2
Reception Area,13/01/26 08:21,24.4,51.3,18,317,920,185.9,1013.1,27,15,21,27,0,398,60,2,2
Reception Area,13/01/26 08:22,24.3,48.5,18,304,885,186.3,1012.8,25,15,21,27,0,379,57,2,2
Reception Area,13/01/26 08:23,24.4,49.4,17,293,914,194.1,1013.3,25,14,21,26,0,373,58,2,2
Reception Area,13/01/26 08:24,24.4,50.0,16,294,865,191.3,1013.1,23,14,21,28,0,370,58,2,2
Reception Area,13/01/26 08:25,24.3,50.9,18,312,848,188.2,1013.3,23,14,22,28,0,364,58,2,2
Reception Area,13/01/26 08:26,24.2,49.6,18,291,837,190.6,1013.1,25,14,20,28,0,366,57,2,2
Reception Area,13/01/26 08:27,24.5,51.0,18,288,849,191.3,1012.8,26,14,21,25,0,384,55,2,2
Reception Area,13/01/26 08:28,24.6,50.6,16,297,832,194.0,1013.0,26,13,21,26,0,354,56,2,2
Reception Area,13/01/26 08:29,24.4,49.7,17,298,826,185.1,1012.9,25,14,20,26,0,353,53,2,2
Reception Area,13/01/26 08:30,24.3,49.5,15,269,815,194.6,1012.8,28,13,19,25,0,339,53,2,2
Reception Area,13/01/26 08:31,24.4,49.5,16,286,786,193.5,1013.1,26,12,20,24,0,334,51,2,2
Reception Area,13/01/26 08:32,24.0,49.7,15,278,796,185.3,1013.1,23,13,19,25,0,330,54,2,2
Reception Area,13/01/26 08:33,24.0,51.1,14,265,787,187.6,1013.2,25,13,19,24,0,341,50,2,2
Reception Area,13/01/26 08:34,24.4,50.6,15,270,755,186.3,1012.8,24,12,18,24,0,331,49,2,2
Reception Area,13/01/26 08:35,24.3,50.6,15,279,773,189.9,1012.8,24,13,17,24,0,310,48,2,2
Reception Area,13/01/26 08:36,24.1,50.0,15,257,779,189.9,1012.7,22,14,18,23,0,327,47,2,2
