Site,Date and Time,Temperature,Relative Humidity,PM2.5,TVOC,CO2,CO,Air Pressure,Ozone,PM1,PM4,PM10,Formaldehyde,Light,Sound,Virus Index,Mold Index
Server Room,13/01/26 08:00,29.4,69.8,64,996,1697,520.7,1012.6,62,62,70,93,9.9,311,96,6,6
Server Room,13/01/26 08:01,29.1,71.8,65,1000,1686,510.1,1012.9,63,63,69,91,14.4,295,92,5,6
Server Room,13/01/26 08:02,28.9,68.9,68,976,1716,526.0,1013.0,67,64,76,90,12.3,295,90,4,6
Server Room,13/01/26 08:03,29.3,69.3,65,1038,1732,522.4,1013.0,61,62,74,89,12.5,316,94,5,6
Server Room,13/01/26 08:04,28.9,69.0,66,1060,1791,526.8,1012.6,65,65,74,92,10.8,320,94,5,7
Server Room,13/01/26 08:05,29.6,68.6,69,1026,1860,511.5,1012.5,58,64,71,95,11.4,326,102,5,6
Server Room,13/01/26 08:06,29.7,69.9,72,1051,1817,525.4,1012.9,61,65,76,94,12.0,335,102,6,6
Server Room,13/01/26 08:07,29.1,70.1,71,1046,1915,523.2,1013.1,65,66,76,93,11.9,304,100,4,5
Server Room,13/01/26 08:08,29.7,69.4,72,1087,1849,529.6,1012.7,65,66,81,101,10.6,337,99,5,6
Server Room,13/01/26 08:09,29.5,71.3,73,1094,1959,520.3,1012.7,67,67,79,100,12.0,316,100,4,6
Server Room,13/01/26 08:10,29.2,68.7,73,1142,1904,514.6,1013.0,65,68,80,97,10.0,362,100,4,6
Server Room,13/01/26 08:11,29.2,70.5,72,1141,1923,515.2,1012.6,68,70,81,96,13.3,357,104,4,6
Server Room,13/01/26 08:12,29.9,71.5,74,1181,2001,525.9,1013.0,60,71,80,105,11.1,348,108,4,6
Server Room,13/01/26 08:13,29.2,68.8,79,1162,2007,513.0,1012.6,63,72,79,107,12.0,332,109,4,6
Server Room,13/01/26 08:14,29.8,71.6,80,1191,2042,517.4,1012.5,63,70,86,108,11.3,365,112,6,6
Server Room,13/01/26 08:15,29.3,68.5,78,1163,2100,515.7,1013.0,62,70,87,109,12.5,341,106,5,6
Server Room,13/01/26 08:16,29.5,69.4,77,1219,2063,527.1,1012.8,62,72,87,111,11.5,385,113,5,6
Server Room,13/01/26 08:17,29.4,69.2,79,1239,2136,527.1,1012.9,65,74,89,106,10.3,366,112,5,6
Server Room,13/01/26 08:18,29.8,68.6,84,1183,2096,512.9,1013.1,62,72,86,106,9.2,370,120,5,6
Server Room,13/01/26 08:19,29.9,70.4,85,1278,2175,518.8,1012.6,65,78,87,106,12.6,382,113,4,5
Server Room,13/01/26 08:20,29.5,68.0,81,1309,2213,517.1,1012.7,64,77,91,109,9.5,372,121,6,6
Server Room,13/01/26 08:21,30.1,69.1,85,1243,2253,521.5,1012.7,62,76,88,112,14.7,408,124,6,7
Server Room,13/01/26 08:22,29.8,70.8,86,1265,2212,525.1,1013.1,63,77,90,108,9.7,359,119,6,6
Server Room,13/01/26 08:23,29.5,69.3,85,1248,2112,526.6,1012.6,59,77,92,107,14.6,380,115,6,6
Server Room,13/01/26 08:24,30.0,70.7,83,1232,2107,524.7,1013.0,60,73,86,111,9.9,353,119,5,6
Server Room,13/01/26 08:25,29.7,71.1,80,1172,2110,522.4,1012.8,68,76,90,109,14.9,397,112,4,6
Server Room,13/01/26 08:26,29.2,71.2,79,1208,2088,517.9,1012.9,60,76,88,108,13.1,339,110,5,6
Server Room,13/01/26 08:27,29.7,69.0,78,1164,2061,522.3,1012.7,63,70,87,105,14.1,351,108,4,6
Server Room,13/01/26 08:28,29.3,68.4,77,1150,2033,517.6,1012.6,68,70,86,102,12.0,390,113,5,6
Server Room,13/01/26 08:29,29.7,69.2,77,1169,2005,523.8,1012.5,66,71,84,103,11.0,347,110,6,6
Server Room,13/01/26 08:30,29.1,68.5,78,1194,1961,521.5,1012.9,60,72,81,105,11.9,365,111,5,6
Server Room,13/01/26 08:31,29.6,68.6,73,1165,1951,522.6,1012.8,66,66,77,98,10.9,334,104,5,6
Server Room,13/01/26 08:32,29.4,71.5,73,1129,1989,518.3,1012.6,58,69,81,104,13.2,317,102,4,5
Server Room,13/01/26 08:33,29.7,70.2,70,1096,1944,511.7,1012.7,60,68,82,97,10.5,325,104,4,7
Server Room,13/01/26 08:34,29.0,70.7,74,1075,1892,529.5,1012.8,61,66,82,100,10.1,340,103,5,6
Server Room,13/01/26 08:35,29.4,70.6,70,1063,1874,526.1,1012.8,62,65,75,91,13.9,351,99,5,5
Server Room,13/01/26 08:36,29.6,71.8,70,1015,1838,515.9,1012.6,58,64,75,96,11.4,305,101,5,6
Server Room,13/01/26 08:37,29.1,69.7,67,1076,1862,526.2,1012.9,61,65,77,93,14.1,302,96,5,6
Server Room,13/01/26 08:38,29.1,70.5,66,988,1752,520.7,1012.6,59,62,76,95,10.4,296,97,5,6
Server Room,13/01/26 08:39,29.5,72.0,67,1051,1755,526.9,1013.1,59,64,70,91,10.2,332,98,6,5
Server Room,13/01/26 08:40,29.4,69.0,68,1001,1772,510.7,1012.8,66,61,76,90,13.1,297,92,5,5
Server Room,13/01/26 08:41,29.5,70.1,64,1008,1694,527.8,1013.0,60,58,72,87,10.0,291,89,6,5
Basement Car Park,13/01/26 08:00,27.8,77.1,105,1510,2687,781.8,1012.5,78,101,118,140,12.8,274,109,6,9
Basement Car Park,13/01/26 08:01,27.9,74.9,109,1550,2764,796.1,1012.7,79,102,115,132,14.4,303,108,6,8
Basement Car Park,13/01/26 08:02,28.0,74.7,106,1565,2755,796.6,1012.9,83,99,115,136,10.6,300,106,6,8
Basement Car Park,13/01/26 08:03,28.0,74.1,111,1592,2789,794.4,1012.8,82,103,119,140,12.3,319,110,6,7
Basement Car Park,13/01/26 08:04,28.3,74.3,113,1548,2891,784.0,1012.7,78,105,124,144,12.2,329,112,6,8
Basement Car Park,13/01/26 08:05,28.0,77.7,110,1606,2931,781.6,1012.9,78,107,127,143,11.2,334,118,6,7
Basement Car Park,13/01/26 08:06,28.0,75.2,116,1674,2891,794.5,1012.7,79,108,122,147,10.1,340,116,5,8
Basement Car Park,13/01/26 08:07,28.3,75.8,116,1688,2937,783.6,1012.6,80,108,130,147,11.1,319,123,6,8
Basement Car Park,13/01/26 08:08,28.6,75.7,118,1682,3014,784.3,1012.9,86,110,132,149,11.4,348,125,6,8
Basement Car Park,13/01/26 08:09,28.8,75.2,117,1664,3083,780.4,1012.9,84,111,129,153,14.6,317,116,6,7
Basement Car Park,13/01/26 08:10,28.3,76.3,118,1745,3044,788.0,1013.0,84,115,133,151,14.0,353,124,7,8
Basement Car Park,13/01/26 08:11,28.3,76.9,121,1693,3080,795.4,1012.6,85,114,136,160,10.4,356,125,5,9
Basement Car Park,13/01/26 08:12,28.4,75.2,120,1761,3127,790.0,1012.5,78,118,133,157,12.6,351,123,6,8
Basement Car Park,13/01/26 08:13,28.2,74.3,124,1733,3191,781.7,1012.7,85,116,133,161,11.9,364,125,6,8
Basement Car Park,13/01/26 08:14,28.3,74.3,128,1782,3282,781.8,1012.8,81,119,137,163,9.1,348,134,6,9
Basement Car Park,13/01/26 08:15,28.6,74.6,124,1853,3248,787.5,1012.9,86,119,135,167,14.6,386,134,5,8
Basement Car Park,13/01/26 08:16,28.3,75.8,126,1813,3321,784.1,1012.7,80,122,143,161,13.2,339,133,6,7
Basement Car Park,13/01/26 08:17,28.3,75.1,132,1876,3310,793.1,1012.4,81,123,145,169,14.2,343,138,6,7
Basement Car Park,13/01/26 08:18,28.5,77.9,130,1867,3431,790.6,1012.5,82,125,147,164,10.5,379,133,6,7
Basement Car Park,13/01/26 08:19,28.6,75.4,134,1881,3480,790.0,1012.9,83,129,149,174,9.2,384,135,5,9
Basement Car Park,13/01/26 08:20,28.8,74.4,134,1974,3482,792.5,1012.5,79,126,151,177,11.0,388,135,5,8
Basement Car Park,13/01/26 08:21,28.9,77.5,135,1971,3512,782.7,1013.0,87,128,152,179,10.9,393,144,5,8
Basement Car Park,13/01/26 08:22,29.0,76.9,137,1966,3462,788.2,1012.7,86,130,150,171,13.7,361,135,7,8
Basement Car Park,13/01/26 08:23,28.5,76.3,131,1880,3451,787.2,1012.8,82,127,147,173,11.2,402,137,5,7
Basement Car Park,13/01/26 08:24,28.2,77.1,129,1862,3385,794.8,1013.0,85,122,147,174,14.2,376,133,6,7
Basement Car Park,13/01/26 08:25,28.5,74.2,131,1852,3336,792.2,1012.8,83,124,145,170,12.1,369,137,5,9
Basement Car Park,13/01/26 08:26,28.6,75.6,130,1848,3319,792.6,1012.4,80,121,139,168,11.8,363,133,5,8
Basement Car Park,13/01/26 08:27,28.3,77.3,127,1843,3239,795.6,1013.0,84,119,138,163,10.1,369,133,5,8
Basement Car Park,13/01/26 08:28,28.3,76.8,128,1830,3262,782.5,1012.5,81,119,138,161,13.7,361,133,6,8
Basement Car Park,13/01/26 08:29,28.7,77.6,124,1794,3166,797.4,1012.5,84,118,134,163,11.7,363,124,5,7
Basement Car Park,13/01/26 08:30,28.6,75.0,123,1793,3166,780.1,1012.9,79,118,134,157,9.5,357,123,6,8
Basement Car Park,13/01/26 08:31,28.5,77.3,118,1700,3139,780.7,1012.9,84,117,131,160,9.3,342,121,6,8
Basement Car Park,13/01/26 08:32,28.6,76.4,122,1682,3081,791.6,1013.0,78,113,130,153,9.4,338,124,6,7
Basement Car Park,13/01/26 08:33,28.6,75.1,118,1694,3067,792.2,1012.5,84,113,133,152,13.1,364,126,6,8
Basement Car Park,13/01/26 08:34,28.3,76.1,120,1656,2971,791.3,1012.7,83,111,125,151,13.3,363,115,5,8
Basement Car Park,13/01/26 08:35,28.1,77.4,117,1700,2961,786.7,1012.7,83,107,124,146,13.7,318,118,6,7
Basement Car Park,13/01/26 08:36,28.4,75.4,114,1640,2884,783.5,1012.6,80,109,127,149,12.9,324,118,7,8
Basement Car Park,13/01/26 08:37,28.2,77.1,111,1631,2926,786.0,1012.8,80,107,121,146,13.8,344,114,7,8
Basement Car Park,13/01/26 08:38,27.9,77.9,112,1619,2861,787.8,1012.8,86,107,123,140,9.2,312,114,5,8
Basement Car Park,13/01/26 08:39,28.7,74.9,108,1525,2843,795.6,1012.9,81,101,119,140,10.1,337,114,6,9
Basement Car Park,13/01/26 08:40,27.9,77.5,109,1586,2795,782.7,1012.8,82,103,118,133,14.6,319,112,5,8
Basement Car Park,13/01/26 08:41,27.8,76.1,107,1502,2746,786.2,1012.9,80,99,114,134,11.6,281,105,6,7
Conference Room B,13/01/26 08:00,27.1,64.1,33,505,1082,302.8,1012.9,38,32,39,46,11.0,297,66,3,4
Conference Room B,13/01/26 08:01,26.7,62.2,35,495,1125,311.9,1013.0,42,35,40,48,13.3,314,71,4,5
Conference Room B,13/01/26 08:02,27.0,62.5,38,576,1128,309.1,1012.9,42,34,41,43,14.2,315,76,3,4
Conference Room B,13/01/26 08:03,27.2,65.2,38,537,1100,309.5,1012.7,40,33,45,47,9.8,288,76,4,4
Conference Room B,13/01/26 08:04,27.2,65.2,37,539,1153,312.4,1012.8,45,34,43,50,12.5,334,73,4,4
Conference Room B,13/01/26 08:05,26.9,64.7,34,600,1185,309.7,1012.9,40,36,48,45,14.7,295,71,4,5
Conference Room B,13/01/26 08:06,27.0,64.0,39,523,1226,317.7,1013.0,41,33,42,44,12.2,318,77,2,4
Conference Room B,13/01/26 08:07,27.1,64.3,40,552,1254,308.7,1013.1,38,35,42,54,11.4,308,75,3,4
Conference Room B,13/01/26 08:08,26.8,64.8,41,565,1261,317.3,1012.6,42,36,45,49,11.3,337,80,3,3
Conference Room B,13/01/26 08:09,27.1,65.7,41,551,1291,313.4,1012.6,36,35,49,50,11.6,367,75,3,4
Conference Room B,13/01/26 08:10,27.2,65.2,41,587,1225,310.2,1012.8,40,37,45,52,12.5,363,77,3,4
Conference Room B,13/01/26 08:11,27.3,63.5,43,608,1292,302.3,1012.8,42,37,50,57,14.9,364,80,2,5
Conference Room B,13/01/26 08:12,27.0,63.9,42,655,1246,312.7,1013.0,38,36,48,55,11.8,352,82,3,4
Conference Room B,13/01/26 08:13,27.7,65.2,40,570,1346,315.0,1012.9,41,37,49,50,9.3,384,86,3,4
Conference Room B,13/01/26 08:14,27.0,64.0,44,602,1283,305.6,1013.0,35,38,47,55,9.9,357,87,3,4
Conference Room B,13/01/26 08:15,27.4,65.2,44,615,1293,302.9,1013.1,37,41,54,57,10.4,360,86,2,4
Conference Room B,13/01/26 08:16,27.3,64.6,45,600,1318,308.0,1012.7,42,43,51,54,13.2,366,82,4,3
Conference Room B,13/01/26 08:17,27.7,63.8,44,692,1385,300.8,1013.1,41,45,51,59,14.2,362,85,2,4
Conference Room B,13/01/26 08:18,27.3,65.1,45,676,1391,303.9,1012.7,42,40,52,58,14.0,348,84,2,4
Conference Room B,13/01/26 08:19,27.3,63.1,42,613,1357,318.8,1012.9,43,46,54,59,9.7,402,85,3,5
Conference Room B,13/01/26 08:20,,,,,,,,,,,,,,,,
Conference Room B,13/01/26 08:21,,,,,,,,,,,,,,,,
Conference Room B,13/01/26 08:22,,,,,,,,,,,,,,,,
Conference Room B,13/01/26 08:23,27.6,65.9,46,681,1373,309.3,1013.1,41,46,51,56,14.4,397,87,2,3
Conference Room B,13/01/26 08:24,27.6,63.5,43,609,1428,305.3,1012.8,40,45,53,53,12.0,356,91,2,4
Conference Room B,13/01/26 08:25,27.7,64.9,41,603,1374,305.0,1012.8,44,40,53,59,13.0,358,89,4,4
Conference Room B,13/01/26 08:26,27.4,65.8,43,632,1385,315.6,1013.0,40,38,55,58,11.9,372,90,3,4
Conference Room B,13/01/26 08:27,27.3,64.5,45,590,1338,319.2,1012.5,40,43,51,51,9.2,357,82,3,5
Conference Room B,13/01/26 08:28,27.4,63.4,40,637,1344,302.8,1012.6,42,41,50,50,12.2,348,84,4,4
Conference Room B,13/01/26 08:29,27.7,62.1,38,645,1258,302.4,1013.0,42,40,50,57,9.9,360,87,2,3
Conference Room B,13/01/26 08:30,27.4,63.9,44,564,1308,302.6,1012.6,35,38,51,52,10.0,356,85,2,4
Conference Room B,13/01/26 08:31,27.5,62.9,42,594,1303,319.6,1012.9,38,42,49,48,14.0,365,83,3,4
